occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
1294872,occ,,,172839,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Barremian,Aptian,125.77,113,46944
1294887,occ,,,172841,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Barremian,Aptian,125.77,113,46944
1294897,occ,,,172842,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Barremian,Aptian,125.77,113,46944
1294909,occ,,,172844,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Barremian,Aptian,125.77,113,46944
1294914,occ,,,172845,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1294915,occ,,,172845,Cicatricosisporites mohrioides,species,327260,,Cicatricosisporites mohrioides,species,327260,Neocomian,Barremian,145,121.4,46944
1294919,occ,,,172845,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1294920,occ,,,172845,Deltoidospora diaphana,species,327263,,Deltoidospora diaphana,species,327263,Neocomian,Barremian,145,121.4,46944
1294921,occ,,,172845,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Neocomian,Barremian,145,121.4,46944
1294924,occ,,,172845,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1294933,occ,,F,172846,Biretisporites potoniei,species,276783,,Biretisporites potoniei,species,276783,Neocomian,Barremian,145,121.4,46944
1294934,occ,,,172846,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1294941,occ,,,172847,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1294943,occ,,,172847,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1294944,occ,,,172847,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1295022,occ,,F,172875,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295033,occ,,,172848,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1295036,occ,,,172848,Deltoidospora diaphana,species,327263,,Deltoidospora diaphana,species,327263,Neocomian,Barremian,145,121.4,46944
1295115,occ,,F,172876,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295125,occ,,,172849,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1295128,occ,,,172849,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1295129,occ,,,172849,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Neocomian,Barremian,145,121.4,46944
1295130,occ,,,172849,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1295230,occ,,F,172877,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295319,occ,,F,172878,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295409,occ,,F,172879,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295493,occ,,F,172880,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295603,occ,,F,172881,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295703,occ,,F,172882,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295813,occ,,F,172883,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295912,occ,,F,172884,Monolites cf. alveolatus,species,320915,,Monolites alveolatus,species,320915,Early Pleistocene,,2.58,0.774,55377
1295928,occ,,,172850,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1295930,occ,,,172850,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1295932,occ,,,172850,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1295938,occ,,,172851,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1295940,occ,,,172851,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1295942,occ,,,172851,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1295943,occ,,,172851,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1295953,occ,,,172852,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1295954,occ,,,172852,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1295959,occ,,,172852,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1295962,occ,,F,172852,Gleicheniidites senonicus,species,252492,,Gleicheniidites senonicus,species,252492,Neocomian,Barremian,145,121.4,46944
1295963,occ,,,172852,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Neocomian,Barremian,145,121.4,46944
1295965,occ,,F,172852,Todisporites minor,species,252542,,Todisporites minor,species,252542,Neocomian,Barremian,145,121.4,46944
1295966,occ,,,172852,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1295982,occ,,,172853,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1295983,occ,,,172853,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1295985,occ,,,172853,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1295986,occ,,,172853,Deltoidospora diaphana,species,327263,,Deltoidospora diaphana,species,327263,Neocomian,Barremian,145,121.4,46944
1295989,occ,,,172853,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1295990,occ,,,172853,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1296005,occ,,,172856,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296013,occ,,,172857,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296015,occ,,,172857,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1296022,occ,,,172858,Cicatricosisporites mohrioides,species,327260,,Cicatricosisporites mohrioides,species,327260,Neocomian,Barremian,145,121.4,46944
1296024,occ,,,172858,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296030,occ,,,172859,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1296031,occ,,,172859,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1296036,occ,,,172859,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Neocomian,Barremian,145,121.4,46944
1296038,occ,,,172859,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1296052,occ,,,172860,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1296055,occ,,,172860,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296061,occ,,,172861,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296062,occ,,,172861,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Neocomian,Barremian,145,121.4,46944
1296067,occ,,,172864,Cicatricosisporites salardii,species,327192,,Cicatricosisporites salardii,species,327192,Neocomian,Barremian,145,121.4,46944
1296071,occ,,,172864,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296074,occ,,F,172864,Todisporites minor,species,252542,,Todisporites minor,species,252542,Neocomian,Barremian,145,121.4,46944
1296075,occ,,,172864,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1296082,occ,,,172865,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1296089,occ,,,172866,Cicatricosisporites cf. australiensis,species,276874,,Cicatricosisporites australiensis,species,276874,Neocomian,Barremian,145,121.4,46944
1296091,occ,,,172866,Crybelosporites cf. pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Neocomian,Barremian,145,121.4,46944
1296092,occ,,F,172866,Gleicheniidites senonicus,species,252492,,Gleicheniidites senonicus,species,252492,Neocomian,Barremian,145,121.4,46944
1296093,occ,,,172866,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Neocomian,Barremian,145,121.4,46944
1296094,occ,,F,172866,Todisporites minor,species,252542,,Todisporites minor,species,252542,Neocomian,Barremian,145,121.4,46944
1296096,occ,,,172866,Verrucosisporites rotundus,species,322158,,Verrucosisporites rotundus,species,322158,Neocomian,Barremian,145,121.4,46944
1296109,occ,,,172885,Cyathidites minor,species,252470,,Cyathidites minor,species,252470,Danian,,66,61.6,55652
1296110,occ,,F,172885,Cyathidites patagonicus,species,276523,,Cyathidites patagonicus,species,276523,Danian,,66,61.6,55652
1296111,occ,,F,172885,Dictyophyllidites concavus,species,278281,,Dictyophyllidites concavus,species,278281,Danian,,66,61.6,55652
1296112,occ,,F,172885,Laevigatosporites ovatus,species,252494,,Laevigatosporites ovatus,species,252494,Danian,,66,61.6,55652
1296162,occ,,F,172887,Clavifera triplex,species,276522,,Clavifera triplex,species,276522,Danian,,66,61.6,55652
1296163,occ,,,172887,Cyathidites minor,species,252470,,Cyathidites minor,species,252470,Danian,,66,61.6,55652
1296164,occ,,F,172887,Dictyophyllidites concavus,species,278281,,Dictyophyllidites concavus,species,278281,Danian,,66,61.6,55652
1296173,occ,,F,172887,Trichotomosulcites subgranulatus,species,277505,,Trichotomosulcites subgranulatus,species,277505,Danian,,66,61.6,55652
1296190,occ,,F,172890,Clavifera triplex,species,276522,,Clavifera triplex,species,276522,Danian,,66,61.6,55652
1296191,occ,,,172890,Cyathidites minor,species,252470,,Cyathidites minor,species,252470,Danian,,66,61.6,55652
1296192,occ,,F,172890,Dictyophyllidites concavus,species,278281,,Dictyophyllidites concavus,species,278281,Danian,,66,61.6,55652
1296193,occ,,F,172890,Laevigatosporites ovatus,species,252494,,Laevigatosporites ovatus,species,252494,Danian,,66,61.6,55652
1296206,occ,,F,172890,Trichotomosulcites subgranulatus,species,277505,,Trichotomosulcites subgranulatus,species,277505,Danian,,66,61.6,55652
1296229,occ,,F,172892,Clavifera triplex,species,276522,,Clavifera triplex,species,276522,Danian,,66,61.6,55652
1296230,occ,,F,172892,Cyathidites patagonicus,species,276523,,Cyathidites patagonicus,species,276523,Danian,,66,61.6,55652
1296235,occ,,F,172892,Trichotomosulcites subgranulatus,species,277505,,Trichotomosulcites subgranulatus,species,277505,Danian,,66,61.6,55652
1311517,occ,,F,144474,Polypodiaceoisporites ? fossulatus,species,327215,,Polypodiaceoisporites fossulatus,species,327215,Priabonian,Rupelian,37.71,27.82,46714
1311930,occ,,,176120,Ischyosporites variegatus,species,325744,,Ischyosporites variegatus,species,325744,Bathonian,,168.2,165.3,57820
1316029,occ,,,176637,Deltoidospora mesozoica,species,324088,,Deltoidospora mesozoica,species,324088,Early Cenomanian,,100.5,93.9,58207
1316035,occ,,F,176637,Biretisporites potoniei,species,276783,,Biretisporites potoniei,species,276783,Early Cenomanian,,100.5,93.9,58207
1316036,occ,,F,176637,Dictyophyllidites harrisii,species,252446,,Dictyophyllidites harrisii,species,252446,Early Cenomanian,,100.5,93.9,58207
1316037,occ,,F,176637,Gleicheniidites senonicus,species,252492,,Gleicheniidites senonicus,species,252492,Early Cenomanian,,100.5,93.9,58207
1316041,occ,,F,176637,Osmundacidites wellmanii,species,252480,,Osmundacidites wellmanii,species,252480,Early Cenomanian,,100.5,93.9,58207
1316042,occ,,F,176637,Peromonolites allenensis,species,330010,,Peromonolites allenensis,species,330010,Early Cenomanian,,100.5,93.9,58207
1316045,occ,,F,176637,Todisporites minor,species,252542,,Todisporites minor,species,252542,Early Cenomanian,,100.5,93.9,58207
1340705,occ,,F,181126,Salvinia n. sp. intertrappea,species,346224,,Salvinia intertrappea,species,346224,Early Paleocene,,66,61.6,60182
1347390,occ,,,68021,Lygodium kaulfussii,species,54566,obsolete variant of,Lygodium kaulfussi,species,55241,Rupelian,,33.9,27.82,60711
1358656,occ,,,184621,Microtaenia variabilis,species,410996,,Microtaenia variabilis,species,410996,Albian,,113,100.5,61867
1358657,occ,,,184621,Anemia fremonti,species,446951,,Anemia fremonti,species,446951,Albian,,113,100.5,61867
1358658,occ,,,184621,Dennstaedtia ? fremonti,species,448370,,Dennstaedtia fremonti,species,448369,Albian,,113,100.5,61867
1400058,occ,,,19206,Pteris calabazensis,species,369972,objective synonym of,Pteris idahoensis,species,448650,Hemingfordian,Barstovian,18.5,12.5,65602
1403552,occ,,,193696,Equisetum cf. perlaevigatum,species,448734,,Equisetum perlaevigatum,species,448734,Early Maastrichtian,,72.1,66,65160
1415627,occ,,,168549,Crybelosporites striatus,species,276799,,Crybelosporites striatus,species,276799,Late Campanian,Early Maastrichtian,83.6,66,66607
1415628,occ,,,168549,Crybelosporites pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Late Campanian,Early Maastrichtian,83.6,66,66607
1415629,occ,,,168549,Grapnelispora loncochensis,species,278109,,Grapnelispora loncochensis,species,278109,Late Campanian,Early Maastrichtian,83.6,66,66607
1415631,occ,,,195706,Crybelosporites pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415632,occ,,F,195706,Cyathidites australis,species,252473,,Cyathidites australis,species,252473,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415633,occ,,F,195706,Gleicheniidites senonicus,species,252492,,Gleicheniidites senonicus,species,252492,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415634,occ,,,195706,Paleoazolla patagonica,species,481693,,Paleoazolla patagonica,species,481693,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415648,occ,35865,F,195707,Azolla coloniensis,species,390025,,Azolla coloniensis,species,390025,Late Cretaceous,Early Paleocene,100.5,61.6,69524
1415650,occ,,,195707,Crybelosporites pannuceus,species,321444,,Crybelosporites pannuceus,species,321444,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415651,occ,,F,195707,Cyathidites australis,species,252473,,Cyathidites australis,species,252473,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415655,occ,,F,195707,Mirasolita irupensis,species,375280,,Mirasolita irupensis,species,375280,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415656,occ,,,195707,Molaspora lobata,species,485787,,Molaspora lobata,species,485787,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415657,occ,,,195707,Paleoazolla patagonica,species,481693,,Paleoazolla patagonica,species,481693,Late Cretaceous,Early Paleocene,100.5,61.6,66608
1415726,occ,,F,195707,Lugiomarsiglia aquatica,species,375282,,Lugiomarsiglia aquatica,species,375282,Late Cretaceous,Early Paleocene,100.5,61.6,66620
1421514,occ,,,164930,Equisetites n. sp. keuperina,species,378577,,Equisetites keuperina,species,378577,Early Triassic,,251.902,247.2,67298
