occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
128951,occ,,,10644,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Hastarian,Ivorian,358.9,346.7,3947
128952,occ,,,10644,Metadineuron ellipticum,species,410936,,Metadineuron ellipticum,species,410935,Hastarian,Ivorian,358.9,346.7,3947
128958,occ,,,10645,Etapteris tubicaulis,species,408389,,Etapteris tubicaulis,species,408388,Hastarian,Asbian,358.9,336.3,3947
128987,occ,,,10646,Metadineuron ellipticum,species,410936,,Metadineuron ellipticum,species,410935,Asbian,,340.2,336.3,3947
128989,occ,,,10646,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Asbian,,340.2,336.3,3947
129168,occ,,,10655,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Mississippian,,358.9,323.2,3947
129181,occ,,,10656,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Tournaisian,Visean,358.9,330.9,3947
129207,occ,,,10657,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Tournaisian,,358.9,346.7,3947
129252,occ,,,10659,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Mississippian,,358.9,323.2,3947
129254,occ,,,10659,Dineuron pteroides,species,407728,,Dineuron pteroides,species,407728,Mississippian,,358.9,323.2,3947
129255,occ,,,10659,Etapteris cf. tubicaulis,species,408389,,Etapteris tubicaulis,species,408388,Mississippian,,358.9,323.2,3947
129259,occ,,,10659,Todeopsis primaeva,species,415805,,Todeopsis primaeva,species,415805,Mississippian,,358.9,323.2,3947
129265,occ,,,10660,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Mississippian,,358.9,323.2,3947
129875,occ,,,10729,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129879,occ,,,10730,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129893,occ,,,10732,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129914,occ,,,10736,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129929,occ,,,10738,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129976,occ,,,10742,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
130026,occ,,F,10742,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130277,occ,,,10756,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Pennsylvanian,,323.2,298.9,3999
130379,occ,,,10779,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
130447,occ,,F,10779,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130505,occ,,,10780,Murospora kosankei,species,461719,,Murospora kosankei,species,461719,Desmoinesian,,312.7,305.9,3992
130652,occ,,F,10782,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130881,occ,,,10786,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Desmoinesian,,312.7,305.9,3992
130953,occ,,,10802,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Wasatchian,,54.9,50.5,4023
130956,occ,,,10802,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
130963,occ,,,10802,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130972,occ,,,10805,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
130977,occ,,,10806,Hemitelia magna,species,55242,recombined as,Asplenium magnum,species,55243,Wasatchian,,54.9,50.5,4023
130979,occ,,,10806,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130987,occ,,,10807,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130990,occ,,,10803,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
130997,occ,,,10808,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
131011,occ,,,10810,Osmunda macrophylla,species,55239,,Osmunda macrophylla,species,55239,Clarkforkian,,56.2,54.9,4023
131022,occ,,,10811,Equisetum n. sp. magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
131299,occ,,,10885,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Pennsylvanian,,323.2,298.9,4003
131308,occ,,,10886,Pecopteris dentata ?,species,413185,recombined as,Prepecopteris dentata,species,413185,Pennsylvanian,,323.2,298.9,4003
131376,occ,,,10789,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
131413,occ,,,10791,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
131694,occ,,F,10801,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Missourian,,305.9,303.7,3992
131724,occ,,,10889,Megalopteris dawsoni,species,410800,,Megalopteris dawsoni,species,410799,Pennsylvanian,,323.2,298.9,4003
131734,occ,,,10889,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Pennsylvanian,,323.2,298.9,4003
131750,occ,,,10889,Palmatopteris furcata,species,411977,,Palmatopteris furcata,species,411977,Pennsylvanian,,323.2,298.9,4003
131762,occ,,,10889,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Pennsylvanian,,323.2,298.9,4003
132240,occ,,,10965,Onoclea hesperia,species,55245,,Onoclea hesperia,species,55245,Wasatchian,,54.9,50.5,4023
132254,occ,,,10968,Onoclea hesperia,species,55245,,Onoclea hesperia,species,55245,Clarkforkian,,56.2,54.9,4023
132255,occ,,,10968,Osmunda macrophylla,species,55239,,Osmunda macrophylla,species,55239,Clarkforkian,,56.2,54.9,4023
132278,occ,,,10973,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
132280,occ,,,10973,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132293,occ,,,10974,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
132294,occ,,,10974,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132306,occ,,,10976,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132317,occ,,,10980,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132323,occ,,,10982,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
132802,occ,,,11042,Stelastellara parvula,species,415137,,Stelastellara parvula,species,415137,Desmoinesian,,312.7,305.9,4066
132812,occ,,,11043,Stelastellara parvula,species,415137,,Stelastellara parvula,species,415137,Desmoinesian,,312.7,305.9,4066
132911,occ,,,11108,Stelastellara parvula,species,415137,,Stelastellara parvula,species,415137,Desmoinesian,,312.7,305.9,4066
133268,occ,,,11150,n. gen. Supaia n. sp. thinnfeldioides,species,415383,,Supaia thinnfeldioides,species,415383,Artinskian,Kungurian,290.1,273.01,4048
133317,occ,,,11154,Glenopteris splendens,species,408829,,Glenopteris splendens,species,408829,Rotliegendes,,283.5,259.51,4102
133322,occ,,,11155,Scolecopteris elegans,species,414604,,Scolecopteris elegans,species,414604,Permian,,298.9,251.902,4102
133327,occ,,,11155,Glenopteris splendens,species,408829,,Glenopteris splendens,species,408829,Permian,,298.9,251.902,4102
133340,occ,,,11159,Supaia cf. thinnfeldioides,species,415383,,Supaia thinnfeldioides,species,415383,Sakmarian,Kungurian,293.52,273.01,4110
133357,occ,,,11162,Pecopteris hemitelioides,species,409465,recombined as,Hemitelites hemitelioides,species,409465,Asselian,Kungurian,298.9,273.01,4102
133377,occ,,,11165,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Asselian,Sakmarian,298.9,290.1,4113
133393,occ,,,11168,Scolecopteris elegans,species,414604,,Scolecopteris elegans,species,414604,Permian,,298.9,251.902,4102
133557,occ,,,11187,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Westphalian D,Stephanian A,309.8,301.4,4125
133567,occ,,,11188,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Stephanian A,,305,301.4,4125
133638,occ,,,11193,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Carboniferous,Podolskian,358.9,308.9,4123
133732,occ,,,11203,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Carboniferous,,358.9,298.9,4132
133766,occ,,,11207,Asterophyllites charaeformis,species,125727,,Asterophyllites charaeformis,species,125727,Pennsylvanian,,323.2,298.9,4135
133770,occ,,,11208,Neriopteris lanceolata,species,411383,,Neriopteris lanceolata,species,411383,Early Pennsylvanian,,323.2,315.2,4136
133784,occ,,,11209,Sphenopteridium dissectum,species,414968,,Sphenopteridium dissectum,species,414967,Mississippian,,358.9,323.2,4137
134126,occ,,F,11235,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134140,occ,,,11236,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Late Pennsylvanian,,307,298.9,4147
134146,occ,,F,11236,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134203,occ,,F,11238,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134218,occ,,F,11239,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134230,occ,,F,11240,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134299,occ,,F,11241,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134343,occ,,F,11243,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134359,occ,,F,11244,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134459,occ,,F,11248,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134476,occ,,F,11249,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134491,occ,,F,11250,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134526,occ,,F,11251,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134545,occ,,F,11252,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134589,occ,,F,11253,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134608,occ,,F,11254,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134662,occ,,F,11257,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134687,occ,,,11259,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Late Pennsylvanian,,307,298.9,4147
134702,occ,,,11260,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Late Pennsylvanian,,307,298.9,4147
134706,occ,,F,11260,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
134724,occ,,F,11261,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135094,occ,,F,11262,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135121,occ,,F,11264,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135152,occ,,F,11266,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135186,occ,,,11268,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Late Pennsylvanian,,307,298.9,4147
135193,occ,,F,11268,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135213,occ,,F,11270,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Late Pennsylvanian,,307,298.9,4147
135427,occ,,,11313,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Virgilian,,303.7,298.9,4159
135524,occ,,,11319,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135645,occ,,,11326,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135655,occ,,,11327,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135670,occ,,,11330,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135751,occ,,,11338,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
135785,occ,,,11342,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Graybullian,,54.9,50.5,4163
135819,occ,,,11344,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135831,occ,,,11345,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135839,occ,,,11346,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135848,occ,,,11347,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
135882,occ,,,11350,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
135975,occ,,,11360,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136006,occ,,,11363,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136014,occ,,,11364,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Graybullian,,54.9,50.5,4163
136049,occ,,,11368,Onoclea hesperia,species,55245,,Onoclea hesperia,species,55245,Puercan,,66,63.8,4163
136075,occ,,,11370,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136296,occ,,,11390,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4163
136309,occ,,,11393,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Early Eocene,,56,47.8,4163
136399,occ,,,11398,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136410,occ,,,11400,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136469,occ,,,11406,Woodwardia gravida,species,55247,,Woodwardia gravida,species,55247,Graybullian,,54.9,50.5,4163
136642,occ,,,11454,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136667,occ,,,11456,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
136695,occ,,,11460,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136714,occ,,,11461,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Lostcabinian,,54.9,50.5,4163
136733,occ,,,11463,Woodwardia gravida,species,55247,,Woodwardia gravida,species,55247,Graybullian,,54.9,50.5,4163
136758,occ,,,11464,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136772,occ,,,11465,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136794,occ,,,11466,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136796,occ,,,11466,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Lostcabinian,,54.9,50.5,4163
136816,occ,,,11467,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136827,occ,,,11468,Lygodium kaulfussi informal,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136829,occ,,,11468,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Lostcabinian,,54.9,50.5,4163
136833,occ,,,11468,Woodwardia gravida,species,55247,,Woodwardia gravida,species,55247,Lostcabinian,,54.9,50.5,4163
136845,occ,,,11469,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136866,occ,,,11470,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136880,occ,,,11471,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136942,occ,,,11477,Woodwardia gravida,species,55247,,Woodwardia gravida,species,55247,Graybullian,,54.9,50.5,4163
136952,occ,,,11479,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136958,occ,,,11480,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
136973,occ,,,11481,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Lostcabinian,,54.9,50.5,4163
136977,occ,,,11483,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
137003,occ,,,11485,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Lostcabinian,,54.9,50.5,4163
137028,occ,,,11489,Woodwardia gravida,species,55247,,Woodwardia gravida,species,55247,Graybullian,,54.9,50.5,4163
137079,occ,,,11498,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Lostcabinian,,54.9,50.5,4163
137113,occ,,,11506,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Graybullian,,54.9,50.5,4163
139817,occ,,,11999,Supaia n. sp. thinnfeldioides,species,415383,,Supaia thinnfeldioides,species,415383,Carboniferous,Permian,358.9,251.902,4048
139827,occ,,,11999,Supaia n. sp. thinnfeldioides,species,415383,,Supaia thinnfeldioides,species,415383,Carboniferous,Permian,358.9,251.902,4048
140159,occ,,,12033,Asterophyllites charaeformis,species,125727,,Asterophyllites charaeformis,species,125727,Carboniferous,Westphalian,358.9,307.4,4049
141417,occ,,,12122,Pecopteris dentata,species,413185,recombined as,Prepecopteris dentata,species,413185,Mississippian,,358.9,323.2,4213
143337,occ,,,12421,Megalopteris dawsoni,species,410800,,Megalopteris dawsoni,species,410799,Mississippian,,358.9,323.2,4240
143369,occ,,,12426,Myriotheca desaillyi,species,411248,,Myriotheca desaillyi,species,411248,Carboniferous,,358.9,298.9,4242
143522,occ,,,12426,Mintopteris hirsuta,species,411064,,Mintopteris hirsuta,species,411064,Carboniferous,,358.9,298.9,4242
143536,occ,,,12426,Pecopteris hemitelioides,species,409465,recombined as,Hemitelites hemitelioides,species,409465,Carboniferous,,358.9,298.9,4242
143537,occ,,,12426,Pecopteris pennaeformis,species,412378,,Pecopteris pennaeformis,species,412377,Carboniferous,,358.9,298.9,4242
144558,occ,,,12668,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Carboniferous,,358.9,298.9,4252
144571,occ,,,12668,Palmatopteris furcata,species,411977,,Palmatopteris furcata,species,411977,Carboniferous,,358.9,298.9,4252
144605,occ,,,12672,Pecopteris cf. pennaeformis,species,412378,,Pecopteris pennaeformis,species,412377,Carboniferous,,358.9,298.9,4256
144773,occ,,,12694,Calamites radiatus,species,406102,,Calamites radiatus,species,406102,Mississippian,,358.9,323.2,4257
144779,occ,,,12694,Asterophyllites charaeformis,species,125727,,Asterophyllites charaeformis,species,125727,Mississippian,,358.9,323.2,4257
144822,occ,,,12697,Zeilleria delicatula,species,416679,,Zeilleria delicatula,species,416679,Carboniferous,,358.9,298.9,4259
144827,occ,,,12697,Asterophyllites charaeformis,species,125727,,Asterophyllites charaeformis,species,125727,Carboniferous,,358.9,298.9,4259
144842,occ,,,12697,Palmatopteris furcata,species,411977,,Palmatopteris furcata,species,411977,Carboniferous,,358.9,298.9,4259
144860,occ,,,12700,Asterophyllites charaeformis,species,125727,,Asterophyllites charaeformis,species,125727,Carboniferous,,358.9,298.9,4260
144875,occ,,,12700,Alethopteris valida,species,125735,,Alethopteris valida,species,125735,Carboniferous,,358.9,298.9,4260
144876,occ,,,12700,Zeilleria delicatula,species,416679,,Zeilleria delicatula,species,416679,Carboniferous,,358.9,298.9,4260
144881,occ,,,12700,Palmatopteris furcata,species,411977,,Palmatopteris furcata,species,411977,Carboniferous,,358.9,298.9,4260
144972,occ,,,12696,Mintopteris hirsuta,species,411064,,Mintopteris hirsuta,species,411064,Carboniferous,,358.9,298.9,4242
144973,occ,,,12696,Myriotheca desaillyi,species,411248,,Myriotheca desaillyi,species,411248,Carboniferous,,358.9,298.9,4242
144983,occ,,,12696,Pecopteris pennaeformis,species,412378,,Pecopteris pennaeformis,species,412377,Carboniferous,,358.9,298.9,4242
145071,occ,,,12724,Pecopteris hemitelioides,species,409465,recombined as,Hemitelites hemitelioides,species,409465,Carboniferous,,358.9,298.9,4242
145486,occ,,,12769,Botryopteris forensis,species,405939,,Botryopteris forensis,species,405939,Carboniferous,,358.9,298.9,4263
146284,occ,,,12918,Botryopteris forensis,species,405939,,Botryopteris forensis,species,405939,Carboniferous,,358.9,298.9,4263
146292,occ,,,12919,Calamites cf. suckowii,species,125729,,Calamites suckowii,species,125729,Carboniferous,,358.9,298.9,4286
148945,occ,,,13094,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Mississippian,,358.9,323.2,4360
149000,occ,,,13145,Pinnularia capillacea,species,412684,,Pinnularia capillacea,species,412684,Carboniferous,,358.9,298.9,4360
149049,occ,,,13145,Pecopteris pluckenetii,species,412375,recombined as,Pecopteridium pluckenetii,species,412375,Carboniferous,,358.9,298.9,4360
149378,occ,,,13191,Nematophyllum angustum,species,411337,recombined as,Nematophyllites angustus,species,411337,Carboniferous,Permian,358.9,251.902,4296
149416,occ,,,13191,Pecopteris hemitelioides,species,409465,recombined as,Hemitelites hemitelioides,species,409465,Carboniferous,Permian,358.9,251.902,4296
149956,occ,,,13272,Pecopteris pennaeformis,species,412378,,Pecopteris pennaeformis,species,412377,Pennsylvanian,,323.2,298.9,4401
149962,occ,,,13272,Pecopteris hemitelioides,species,409465,recombined as,Hemitelites hemitelioides,species,409465,Pennsylvanian,,323.2,298.9,4401
149975,occ,,,13272,Lescuropteris moorii,species,410436,,Lescuropteris moorii,species,410435,Pennsylvanian,,323.2,298.9,4401
150102,occ,,,13272,Oligocarpia gutbieri,species,411609,,Oligocarpia gutbieri,species,411609,Pennsylvanian,,323.2,298.9,4401
150113,occ,,,13272,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Pennsylvanian,,323.2,298.9,4401
150115,occ,,,13272,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Pennsylvanian,,323.2,298.9,4401
151670,occ,,,13511,Megalopteris dawsoni,species,410800,,Megalopteris dawsoni,species,410799,Mississippian,,358.9,323.2,5996
152585,occ,,,13593,Equisetum arvense,species,448712,,Equisetum arvense,species,448712,Mississippian,,358.9,323.2,6000
155302,occ,,,13821,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
156387,occ,,,13892,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
156391,occ,,,13893,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
157607,occ,,,13963,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
157619,occ,,,13969,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
157957,occ,,,13999,Calamocarpon insignis,species,406108,,Calamocarpon insignis,species,406108,Pennsylvanian,,323.2,298.9,5998
161432,occ,,,14212,Chlidanophyton dublinensis,species,417039,,Chlidanophyton dublinensis,species,417039,Kinderhookian,Osagean,358.9,343.1,6288
161535,occ,,,14246,Iridopteris eriensis,species,409863,,Iridopteris eriensis,species,409863,Givetian,,387.7,382.7,6299
161539,occ,,,14245,Sphenophyllum speciosum,species,461150,recombined as,Trizygia speciosa,species,416026,Roadian,Capitanian,273.01,259.51,6188
161547,occ,,,14245,Sphenopteris lobifolia,species,470510,recombined as,Neomariopteris lobifolia,species,470510,Roadian,Capitanian,273.01,259.51,6188
161703,occ,,,14271,Sphenopteris lobifolia,species,470510,recombined as,Neomariopteris lobifolia,species,470510,Kungurian,,283.5,273.01,6188
161826,occ,,,14281,Sphenopteris lobifolia,species,470510,recombined as,Neomariopteris lobifolia,species,470510,Kungurian,,283.5,273.01,6188
161856,occ,,,14288,Phyllotheca cf. australis,species,412626,,Phyllotheca australis,species,412626,Wuchiapingian,Changhsingian,259.51,251.902,6188
162231,occ,,,14329,Sphenophyllum speciosum,species,461150,recombined as,Trizygia speciosa,species,416026,Wuchiapingian,Griesbachian,259.51,251.4,6188
162238,occ,,,14331,Schizoneura gondwanensis,species,459121,,Schizoneura gondwanensis,species,459121,Wuchiapingian,Griesbachian,259.51,251.4,6188
162239,occ,,,14331,Sphenopteris lobifolia,species,470510,recombined as,Neomariopteris lobifolia,species,470510,Wuchiapingian,Griesbachian,259.51,251.4,6188
162251,occ,,,14335,Phyllotheca australis,species,412626,,Phyllotheca australis,species,412626,Wuchiapingian,Griesbachian,259.51,251.4,6188
162256,occ,,,14336,Phyllotheca australis,species,412626,,Phyllotheca australis,species,412626,Wuchiapingian,Griesbachian,259.51,251.4,6188
162257,occ,,,14336,Sphenopteris lobifolia,species,470510,recombined as,Neomariopteris lobifolia,species,470510,Wuchiapingian,Griesbachian,259.51,251.4,6188
162266,occ,,,14337,Sphenophyllum speciosum,species,461150,recombined as,Trizygia speciosa,species,416026,Wuchiapingian,Griesbachian,259.51,251.4,6188
162267,occ,,,14337,Phyllotheca australis,species,412626,,Phyllotheca australis,species,412626,Wuchiapingian,Griesbachian,259.51,251.4,6188
